mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
prix,Saint-Prix,474,56952,1364,0.008322798145806996,0.34750733137829914,5.9399626534901095
levée,Raynaud,466,5853,4347,0.07961729027848967,0.10720036806993329,7.525727420577139
rivière,Roche,462,4363,22543,0.10589044235617694,0.020494166703633056,5.562558602314949
rivière,Saint-Martin,460,4363,14957,0.10543204217281688,0.030754830514140536,6.1481582968391395
travaux publics,Charles,458,50480,86793,0.009072900158478605,0.005276923254179484,0.07279464660485892
prix,Richard,453,56952,15714,0.007954066582385167,0.028827796869033983,2.348451728590505
prix,Paul,453,56952,131300,0.007954066582385167,0.00345011424219345,-0.7142928170053539
rivière,Benjamin,451,4363,2933,0.10336924134769654,0.1537674735765428,8.470023728653052
rivière,Pierre,443,4363,64077,0.10153564061425624,0.006913557126582081,3.9948453658973224
prix,Del,443,56952,29267,0.007778480123612867,0.015136501862165579,1.4190229720692993
travaux publics,Maurice,440,50480,60025,0.008716323296354992,0.007330279050395669,0.5469657651807337
frais,Del,437,37259,29267,0.011728709841917389,0.014931492807599003,2.011507105294249
prix,Martin,432,56952,33672,0.007585335018963337,0.012829650748396294,1.1804730414384357
rivière,Richard,430,4363,15714,0.09855603942241577,0.027364133893343516,5.979631465672335
prix,Roche,430,56952,22543,0.007550217727208878,0.019074657321563236,1.7526482829497474
rivière,Steeg,428,4363,5049,0.09809763923905569,0.08476926123984947,7.610886485504668
travaux publics,Sens,426,50480,30617,0.008438985736925515,0.013913838717052618,1.471546242730438
ligne,Nord,422,24938,62683,0.01692196647686262,0.006732287861142575,1.4415606532234284
rivière,Thomson,417,4363,12843,0.0955764382305753,0.03246904928754964,6.226410413681214
prix,Rouvier,413,56952,9494,0.007251720747295969,0.043501158626500946,2.9420449706060356
rivière,Salis,413,4363,8822,0.09465963786385515,0.04681478122874631,6.754309387481855
rivière,Edouard,411,4363,33410,0.09420123768049507,0.012301706076025142,4.826203682613977
rivière,Tony,407,4363,3190,0.09328443731377492,0.12758620689655173,8.200745736768642
travaux publics,Pierre,404,50480,64077,0.008003169572107765,0.0063049143998626656,0.3295744286006873
