mot,nom,nom_trouve_pres_du_mot,mot_trouve_pres_du_nom,total
prix,Trouard-Riolle,288,288,576
chenal,Cosnier,287,287,574
rivière,Charles,287,287,574
chenal,Bussat,286,286,572
prix,Maurice,286,286,572
prix,Pradon,285,285,570
rivière,Saint-Romme,285,285,570
travaux publics,Faisant,287,282,569
prix,Remoiville,284,284,568
compagnie,Louis,284,284,568
chenal,Fernand,284,284,568
chenal,Cruppi,284,284,568
travaux publics,André,286,281,567
rivière,Vernière,283,283,566
chenal,Chaulet,282,282,564
rivière,Trystram,282,282,564
rivière,Sandrique,281,281,562
chenal,Dalimier,280,280,560
chenal,Daniel,279,279,558
ligne,Sens,279,279,558
rivière,Gustave,279,279,558
prix,Thiessé,279,279,558
travaux publics,Albert,280,278,558
rivière,Riotteau,278,278,556
chenal,Cazauvieilh,278,278,556
chenal,Chassaing,277,277,554
prix,Saint-Romme,277,277,554
économie,Esprit,277,277,554
prix,Thomas,277,277,554
frais,Jules,275,275,550
exploitation,Del,275,275,550
rivière,Récipon,275,275,550
ligne,Paul,275,275,550
prix,Benjamin,275,275,550
chenal,Cochin,274,274,548
chenal,Chaumet,273,273,546
chenal,Couesnon,271,271,542
chenal,Cochery,270,270,540
rivière,Siegfried,270,270,540
port,Nord,270,270,540
ports,Nord,270,270,540
travaux publics,Emile,272,268,540
chenal,Clémentel,270,270,540
chenal,Chaussier,269,269,538
rivière,Treille,269,269,538
chenal,Carnot,269,269,538
rivière,Pinault,268,268,536
chenal,Félix,268,268,536
rivière,Thiessé,267,267,534
prix,Jean,267,267,534
prix,Trystram,267,267,534
chenal,Chailley,266,266,532
prix,Gustave,265,265,530
frais,Faisant,265,265,530
travaux publics,Henri,266,263,529
prix,Waldeck-Rousseau,264,264,528
prix,Vernhes,264,264,528
frais,Charles,264,264,528
chenal,Ceccaldi,263,263,526
prix,Waddington,263,263,526
charge,Sens,263,263,526
prix,Vernière,262,262,524
exploitation,Février,262,262,524
levée,Paul,262,262,524
compagnie,Del,261,261,522
tarif,Février,261,261,522
levée,Février,261,261,522
chenal,Ferdinand,260,260,520
prix,Loyer,259,259,518
rivière,Arthur,259,259,518
rivière,Simyan,259,259,518
charge,Del,259,259,518
travaux publics,Camille,261,256,517
chemin de fer,Louis,261,256,517
rivière,Emile,258,258,516
chenal,Dalbiez,257,257,514
rivière,Philippe,257,257,514
compagnie,Paul,256,256,512
port,Louis,256,256,512
chenal,Camuzet,256,256,512
rivière,Nord,256,256,512
rivière,Ringuier,256,256,512
travaux publics,Yves,255,254,509
prix,Francisque,253,253,506
prix,Frédéric,253,253,506
chenal,Chanoz,253,253,506
chenal,Colliard,253,253,506
travaux publics,Barthe,253,253,506
charge,Esprit,253,253,506
prix,Bois,252,252,504
rivière,Andrieux,251,251,502
eau,Louis,250,250,500
ligne,Louis,248,248,496
frais,Loyer,246,246,492
exploitation,Sens,246,246,492
chenal,Buisson,244,244,488
chenal,Chéron,244,244,488
eaux,Nord,244,244,488
rivière,Roy,243,243,486
exploitation,Rendu,242,242,484
prix,Reymond,242,242,484
compagnie,Trouvé,242,242,484
rivière,Passy,242,242,484
chenal,Benoist,242,242,484
prix,Siegfried,242,242,484
prix,Viette,241,241,482
prix,Préveraud,241,241,482
rivière,Turquet,240,240,480
prix,Vignancour,239,239,478
rivière,Francisque,239,239,478
prix,Turigny,239,239,478
prix,Million,238,238,476
eau,Jules,236,236,472
rivière,Reille,236,236,472
rivière,Maurice,235,235,470
marché,Sens,235,235,470
prix,Aristide,235,235,470
rivière,Rauline,235,235,470
rivière,Ribot,235,235,470
chenal,Dansette,234,234,468
